"Please enable the SOAP extension on server, it's required in Magento2, check more details at <a href=""http://devdocs.magento.com/guides/v2.1/install-gde/system-requirements-tech.html#required-php-extensions"" target=""_blank"">here</a>. If you can not enable the SOAP, please skip the license message, you can active in the future. We are sorry for any inconvenience. ","Please enable the SOAP extension on server, it's required in Magento2, check more details at <a href=""http://devdocs.magento.com/guides/v2.1/install-gde/system-requirements-tech.html#required-php-extensions"" target=""_blank"">here</a>. If you can not enable the SOAP, please skip the license message, you can active in the future. We are sorry for any inconvenience. "
"SOAP extension is not loaded.","Extensión SOAP no está cargada."
"Something went wrong while validating license. Please contact %1","Algo ocurrió mientras se validaba la licencia. Por favor contacte %1"
